company_size,company_sector,company_allows_BYOD,company_does_yearly_pentest,company_uses_RBAC,company_does_red_teaming,company_has_2FA,company_has_password_policy,company_trains_employees_against_social_engineering,company_has_antivirus,company_has_patching_process,company_has_ingress_firewall,company_has_egress_firewall,company_uses_3rd_party,company_has_ciso,company_has_threat_intelligence_team,company_monitors_IOCs,company_has_IDS,company_has_IPS,company_separates_systems,company_does_daily_backups,company_has_recovery_plan,company_has_incident_response_team,company_has_pii,company_has_pci,company_has_phi,company_has_credentials,company_has_other,company_suffers_a_loss,cost_of_loss
small,healthcare,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0.011,510.104
small,financial_services,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0.003,268.745
large,retail,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0.003,12188.242
large,education,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0.018,1006.17
small,healthcare,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0.01,418.918
large,education,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0.026,929.02
large,manufacturing,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0.153,9444.537
large,retail,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0.002,12997.1
small,professional_services,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1.0,398.885
small,healthcare,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0.019,366.597
small,professional_services,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0.811,390.322
large,retail,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0.002,13046.144
small,financial_services,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0.002,370.37
small,financial_services,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0.048,270.707
large,retail,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0.003,11489.607
small,healthcare,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0.027,254.012
small,financial_services,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0.047,385.174
small,other,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0.026,368.916
large,retail,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0.003,15448.305
large,manufacturing,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0.195,10022.882
small,other,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0.028,275.733
small,other,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0.026,328.378
